species_grp,order,family,species_code,common_name,scientific_name,count_2021,count_2020,count_5yr,cons_status,cons_score,cons_desc,diff,abs_diff,perc_diff,peak_month,description,image_url,website
birds,Passeriformes,Turdidae: Thrushes,easblu,Eastern bluebird,Sialia sialis,0,0,0,LC,5,Words words words,Positive,-500,-0.5,March,"The eastern bluebird (Sialia sialis) is a small North American migratory thrush found in open woodlands, farmlands, and orchards.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Sialia_sialis_-Michigan%2C_USA_-pair-8c.jpg/220px-Sialia_sialis_-Michigan%2C_USA_-pair-8c.jpg,https://en.wikipedia.org/wiki/Eastern_bluebird
birds,Piciformes,Picidae: Woodpeckers,rebwoo,Red-bellied woodpecker,Melanerpes carolinus,0,0,0,LC,5,Words words words,Positive,-500,-0.5,March,"The red-bellied woodpecker (Melanerpes carolinus) is a medium-sized woodpecker of the family Picidae. It breeds mainly in the eastern United States, ranging as far south as Florida and as far north as Canada. Though it has a vivid orange-red crown and nape it is not to be confused with the red-headed woodpecker, a separate species of woodpecker in the same genus with an entirely red head and neck that sports a solid black back and white belly.  The red-bellied earns its name from the pale reddish blush of its lower underside.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Red-bellied_Woodpecker-27527.jpg/220px-Red-bellied_Woodpecker-27527.jpg,https://en.wikipedia.org/wiki/Red-bellied_woodpecker
birds,Passeriformes,Paridae: Chickadees and Titmice,carchi,Carolina chickadee,Poecile carolinensis,0,0,0,LC,5,Words words words,Positive,-500,-0.5,March,The Carolina chickadee (Poecile carolinensis) is a small passerine bird in the tit family Paridae.,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Carolina_Chickadee1_by_Dan_Pancamo.jpg/220px-Carolina_Chickadee1_by_Dan_Pancamo.jpg,https://en.wikipedia.org/wiki/Carolina_chickadee
birds,Passeriformes,"Cardinalidae: Tanagers, Cardinals, Grosbeaks & Dickcissels",norcar,Northern cardinal,Cardinalis cardinalis,0,0,0,LC,5,Words words words,Positive,-500,-0.5,March,"The northern cardinal (Cardinalis cardinalis) is a bird in the genus Cardinalis; it is also known colloquially as the redbird, common cardinal, red cardinal, or just cardinal (which was its name prior to 1985). It can be found in southeastern Canada, through the eastern United States from Maine to Minnesota to Texas, New Mexico, southern Arizona, southern California, and south through Mexico, Belize, and Guatemala. It is also an introduced species in a few locations such as Bermuda and Hawaii. Its habitat includes woodlands, gardens, shrublands, and wetlands.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Male_northern_cardinal_in_Central_Park_%2852612%29.jpg/220px-Male_northern_cardinal_in_Central_Park_%2852612%29.jpg,https://en.wikipedia.org/wiki/Northern_cardinal
birds,Passeriformes,Troglodytidae: Wrens,carwre,Carolina wren,Thryothorus ludovicianus,0,0,0,LC,5,Words words words,Positive,-500,-0.5,March,"The Carolina wren (Thryothorus ludovicianus) is a common species of wren that is a resident in the eastern half of the United States of America, the extreme south of Ontario, Canada, and the extreme northeast of Mexico. Severe winters restrict the northern limits of their range while favorable weather conditions lead to a northward extension of their breeding range. Their preferred habitat is in dense cover in forest, farm edges and suburban areas. This wren is the state bird of South Carolina.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Carolina_Wren1.jpg/220px-Carolina_Wren1.jpg,https://en.wikipedia.org/wiki/Carolina_wren
birds,Passeriformes,Sittidae: Nuthatches,whbnut,White-breasted nuthatch,Sitta carolinensis,0,0,0,LC,5,Words words words,Positive,-500,-0.5,March,"The white-breasted nuthatch breeds throughout much of North America, except in the cooler and drier areas. It is mainly found at low altitudes, in deciduous forests or in mixed woodlands. Seven to nine subspecies are generally distinguished by their slightly distinct distributions, vocalizations, and coloration. The species was once thought to be related to the white-cheeked nuthatch (S. leucopsis) and Przewalski's nuthatch (S. przewalskii), two species from southern Asia, but is actually more closely related to the giant nuthatch (S. magna), also from Southeast Asia. The species enjoys a very wide distribution and its population is said to be increasing; the International Union for the Conservation of Nature therefore considers it to be of ""least concern.""",https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Sitta-carolinensis-001.jpg/220px-Sitta-carolinensis-001.jpg,https://en.wikipedia.org/wiki/White-breasted_nuthatch
birds,Passeriformes,Paridae: Chickadees and Titmice,tuftit,Tufted titmouse,Baeolophus bicolor,0,0,0,LC,5,Words words words,Positive,-500,-0.5,March,"The tufted titmouse (Baeolophus bicolor) is a small songbird from North America, a species in the tit and chickadee family (Paridae). The black-crested titmouse, found from central and southern Texas southward,[2] was included as a subspecies, but now is considered a separate species, Baeolophus atricristatus.[3]",https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/TuftedTitmouse_Gam.jpg/220px-TuftedTitmouse_Gam.jpg,https://en.wikipedia.org/wiki/Tufted_titmouse
birds,Passeriformes,"Mimidae: Catbirds, Mockingbirds & Thrashers",normoc,Northern mockingbird,Mimus polyglottos,0,0,0,LC,5,Words words words,Positive,-500,-0.5,March,"The northern mockingbird is an omnivore, eating both insects and fruits. It is often found in open areas and forest edges but forages in grassy land. The northern mockingbird breeds in southeastern Canada, the United States, northern Mexico, the Bahamas, the Cayman Islands and the Greater Antilles. It is replaced further south by its closest living relative, the tropical mockingbird. The Socorro mockingbird, an endangered species, is also closely related, contrary to previous opinion. The northern mockingbird is listed as of least concern according to the International Union for Conservation of Nature (IUCN).",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Mockingbird_in_Bay_Ridge_%2885082%29.jpg/220px-Mockingbird_in_Bay_Ridge_%2885082%29.jpg,https://en.wikipedia.org/wiki/Northern_mockingbird
birds,Passeriformes,Passerellidae: New World Sparrows and Towhees,daejun,Dark-eyed junco,Junco hyemalis,0,0,0,LC,5,Words words words,Positive,-500,-0.5,March,"The dark-eyed junco (Junco hyemalis) is a species of junco, a group of small, grayish New World sparrows. This bird is common across much of temperate North America and in summer ranges far into the Arctic. It is a very variable species, much like the related fox sparrow (Passerella iliaca), and its systematics are still not completely untangled.",https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Dark-eyed_Junco%2C_Washington_State_02.jpg/220px-Dark-eyed_Junco%2C_Washington_State_02.jpg,https://en.wikipedia.org/wiki/Dark-eyed_junco
birds,Piciformes,Picidae (Woodpeckers),dowwoo,Downy woodpecker,Picoides pubescens,0,0,0,LC,5,Words words words,Positive,-500,-0.5,March,"The downy woodpecker was described and illustrated with a hand-coloured plate by the English naturalist Mark Catesby in his The Natural History of Carolina, Florida and the Bahama Islands, which was published between 1729 and 1732.[2] When in 1766 the Swedish naturalist Carl Linnaeus updated his Systema Naturae for the twelfth edition, he included the downy woodpecker, coined the binomial name Picus pubescens and cited Catesby's book.[3] The specific epithet pubescens is the Latin for ""pubescent"" or ""downy"".[4] Linnaeus specified the type locality as America septentrionali (North America) but the locality is now restricted to South Carolina.[5] The downy woodpecker was usually placed in either Dendrocopos or Picoides, but a molecular phylogenetic study published in 2015 found that these genera did not form monophyletic groups.[6] In the revised generic classification, the downy woodpecker was placed with four other species in the resurrected genus Dryobates, that had been erected in 1826 by the German naturalist Friedrich Boie with the downy woodpecker as the type species.[7][8] Within the genus, the downy woodpecker is sister to a clade containing Nuttall's woodpecker (Dryobates nuttalli) and the ladder-backed woodpecker (Dryobates scalaris).[9]",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/FemaleDownyWoodpecker.jpg/220px-FemaleDownyWoodpecker.jpg,https://en.wikipedia.org/wiki/Downy_woodpecker
birds,Passeriformes,"Fringillidae: Siskins, Crossbills & Allies",pinsis,Pine siskin,Spinus pinus,0,0,0,LC,5,Words words words,Positive,-500,-0.5,March,The pine siskin (Spinus pinus) is a North American bird in the finch family. It is a migratory bird with an extremely sporadic winter range.,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Carduelis_pinus_CT7.jpg/220px-Carduelis_pinus_CT7.jpg,https://en.wikipedia.org/wiki/Pine_siskin
birds,Columbiformes,Columbidae: Pigeons and Doves,moudov,Mourning dove,Zenaida macroura,0,0,0,LC,5,Words words words,Positive,-500,-0.5,March,"The mourning dove (Zenaida macroura) is a member of the dove family, Columbidae. The bird is also known as the American mourning dove, the rain dove, and colloquially as the turtle dove, and was once known as the Carolina pigeon and Carolina turtledove.[2] It is one of the most abundant and widespread of all North American birds and a popular gamebird, with more than 20 million birds (up to 70 million in some years) shot annually in the U.S., both for sport and meat. Its ability to sustain its population under such pressure is due to its prolific breeding; in warm areas, one pair may raise up to six broods of two young each in a single year. The wings make an unusual whistling sound upon take-off and landing, a form of sonation. The bird is a strong flier, capable of speeds up to 88 km/h (55 mph).[3]",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Mourning_Dove_2006.jpg/220px-Mourning_Dove_2006.jpg,https://en.wikipedia.org/wiki/Mourning_dove
birds,Passeriformes,Sittidae: Nuthatches,bnhnut,Brown-headed nuthatch,Sitta pusilla,0,0,0,LC,5,Words words words,Positive,-500,-0.5,March,"The brown-headed nuthatch (Sitta pusilla) is a small songbird found endemic to pine forests throughout the Southeastern United States. Genetic analyses indicated low differentiation between northern and southern populations in Florida, but the study also found  lower genetic diversity among south Florida populations that may be a result of the increased habitat fragmentation that was documented. The Bahama nuthatch was formerly considered a subspecies (S. p. insularis), has since been reclassified as its own separate species.[2][3] Two recent studies assessing vocalizations in Bahama and continental nuthatch populations found important differences.[4][5]  One of the studies[4] also demonstrated that  continental and Bahama populations did not respond aggressively to calls of the other population. This type of call-response study is often used to help define cryptic species.[6]",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Brown-headed_Nuthatch-27527-4c.jpg/220px-Brown-headed_Nuthatch-27527-4c.jpg,https://en.wikipedia.org/wiki/Brown-headed_nuthatch
